FIPS,wave,threshold,effective,date issued,date enforcement
36061,wave_1,3000000.0,2016-03-01,2016-01-13,2016-03-01
12086,wave_1,1000000.0,2016-03-01,2016-01-13,2016-03-01
48029,wave_1,,2016-03-01,2016-01-13,2016-03-01
12011,wave_1,,2016-03-01,2016-01-13,2016-03-01
12099,wave_1,,2016-03-01,2016-01-13,2016-03-01
36005,wave_1,,2016-03-01,2016-01-13,2016-03-01
36047,wave_1,,2016-03-01,2016-01-13,2016-03-01
36081,wave_1,,2016-03-01,2016-01-13,2016-03-01
36085,wave_1,,2016-03-01,2016-01-13,2016-03-01
06073,wave_1,,2016-03-01,2016-01-13,2016-03-01
06037,wave_1,,2016-03-01,2016-01-13,2016-03-01
06075,wave_1,,2016-03-01,2016-01-13,2016-03-01
06081,wave_1,,2016-03-01,2016-01-13,2016-03-01
06085,wave_1,,2016-03-01,2016-01-13,2016-03-01
15003,wave_1,,2016-03-01,2016-01-13,2016-03-01
48439,wave_1,,2016-03-01,2016-01-13,2016-03-01
48113,wave_1,,2016-03-01,2016-01-13,2016-03-01
32003,wave_1,,2016-03-01,2016-01-13,2016-03-01
53033,wave_1,,2016-03-01,2016-01-13,2016-03-01
25025,wave_1,,2016-03-01,2016-01-13,2016-03-01
25017,wave_1,,2016-03-01,2016-01-13,2016-03-01
17031,wave_1,,2016-03-01,2016-01-13,2016-03-01
36061,wave_2,3000000.0,2016-09-01,2016-07-22,2016-08-28
12086,wave_2,1000000.0,2016-09-01,2016-07-22,2016-08-28
48029,wave_2,500000.0,2016-09-01,2016-07-22,2016-08-28
12011,wave_2,1000000.0,2016-09-01,2016-07-22,2016-08-28
12099,wave_2,1000000.0,2016-09-01,2016-07-22,2016-08-28
36005,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
36047,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
36081,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
36085,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
06073,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06037,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06075,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06081,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06085,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
15003,wave_2,,2016-09-01,2016-07-22,2016-08-28
48439,wave_2,,2016-09-01,2016-07-22,2016-08-28
48113,wave_2,,2016-09-01,2016-07-22,2016-08-28
32003,wave_2,,2016-09-01,2016-07-22,2016-08-28
53033,wave_2,,2016-09-01,2016-07-22,2016-08-28
25025,wave_2,,2016-09-01,2016-07-22,2016-08-28
25017,wave_2,,2016-09-01,2016-07-22,2016-08-28
17031,wave_2,,2016-09-01,2016-07-22,2016-08-28
36061,wave_3,3000000.0,2017-03-01,2017-02-21,2017-02-24
12086,wave_3,1000000.0,2017-03-01,2017-02-21,2017-02-24
48029,wave_3,500000.0,2017-03-01,2017-02-21,2017-02-24
12011,wave_3,1000000.0,2017-03-01,2017-02-21,2017-02-24
12099,wave_3,1000000.0,2017-03-01,2017-02-21,2017-02-24
36005,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
36047,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
36081,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
36085,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
06073,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06037,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06075,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06081,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06085,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
15003,wave_3,,2017-03-01,2017-02-21,2017-02-24
48439,wave_3,,2017-03-01,2017-02-21,2017-02-24
48113,wave_3,,2017-03-01,2017-02-21,2017-02-24
32003,wave_3,,2017-03-01,2017-02-21,2017-02-24
53033,wave_3,,2017-03-01,2017-02-21,2017-02-24
25025,wave_3,,2017-03-01,2017-02-21,2017-02-24
