"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01"
9,"California",1,2015,2026,2017,2011,1995,1980,1968,1961,1959,1961,1969,1976,1982,1983,1979,1974,1967,1965,1962,1962,1965,1970,1975,1981,1987,1990,1991,1991,1994,1996,2005,2015,2026,2037,2047,2058,2071,2084,2087,2087,2086,2085,2083,2081,2086,2096,2123,2152,2177,2199,2215,2227,2238,2245,2257,2271,2288,2306,2322,2337,2347,2356,2362,2367,2370,2373,2374,2380,2391,2404,2415,2428,2439,2445,2446,2444,2437,2432,2431,2436,2445,2456,2467,2472,2470,2468,2464,2464,2459,2459,2463,2469,2475,2484,2488,2491,2495,2498,2499,2499,2506,2508,2506,2505,2511,2519,2527,2535,2540,2548,2558,2559,2560
54,"Texas",2,1059,1072,1074,1073,1069,1062,1057,1055,1056,1059,1063,1063,1063,1059,1053,1048,1046,1044,1045,1044,1047,1052,1059,1067,1073,1073,1072,1073,1077,1080,1087,1095,1107,1119,1128,1138,1146,1155,1166,1174,1179,1182,1183,1188,1195,1204,1219,1232,1243,1249,1254,1258,1261,1265,1270,1279,1289,1299,1308,1315,1320,1320,1318,1317,1317,1317,1316,1317,1322,1327,1335,1339,1342,1341,1337,1330,1325,1320,1317,1318,1323,1329,1332,1334,1334,1331,1329,1327,1325,1325,1328,1329,1332,1336,1339,1342,1344,1347,1351,1352,1350,1346,1342,1340,1341,1345,1350,1354,1356,1367,1373,1382,1378
43,"New York",3,1541,1578,1593,1598,1593,1586,1579,1576,1575,1577,1585,1594,1601,1605,1604,1603,1605,1607,1613,1620,1630,1642,1653,1660,1663,1664,1670,1675,1683,1686,1693,1701,1718,1740,1763,1779,1797,1810,1822,1834,1841,1845,1849,1858,1864,1867,1874,1898,1912,1924,1929,1925,1925,1928,1943,1955,1971,1982,2012,2040,2067,2085,2094,2103,2109,2109,2112,2116,2119,2123,2133,2149,2162,2174,2179,2182,2184,2173,2165,2150,2143,2143,2150,2158,2157,2155,2150,2150,2148,2141,2139,2138,2141,2146,2153,2162,2168,2169,2169,2173,2193,2197,2195,2192,2191,2194,2197,2202,2207,2246,2251,2261,2235
14,"Florida",4,1259,1270,1277,1287,1291,1295,1296,1296,1296,1299,1303,1304,1304,1304,1302,1302,1303,1303,1304,1307,1312,1316,1319,1324,1326,1328,1331,1334,1337,1340,1341,1345,1350,1357,1365,1376,1386,1397,1410,1421,1429,1434,1435,1435,1434,1431,1435,1440,1448,1456,1464,1471,1480,1488,1494,1500,1508,1514,1519,1523,1529,1535,1543,1552,1561,1571,1573,1574,1577,1581,1585,1590,1593,1594,1596,1601,1600,1597,1592,1588,1584,1583,1581,1581,1577,1574,1572,1574,1579,1582,1586,1587,1587,1587,1585,1585,1588,1594,1601,1606,1599,1599,1600,1601,1603,1608,1613,1616,1619,1618,1617,1617,1617
21,"Illinois",5,1355,1395,1405,1408,1395,1383,1377,1374,1374,1374,1376,1379,1381,1379,1373,1366,1357,1353,1351,1348,1351,1351,1356,1365,1374,1381,1378,1370,1365,1359,1361,1375,1385,1393,1397,1407,1416,1421,1425,1427,1431,1433,1433,1435,1442,1444,1450,1455,1471,1477,1475,1469,1470,1469,1468,1466,1468,1474,1477,1484,1488,1489,1485,1486,1481,1481,1477,1482,1490,1497,1501,1504,1505,1499,1495,1489,1483,1479,1476,1480,1487,1495,1504,1508,1509,1507,1501,1496,1489,1491,1497,1502,1511,1527,1536,1540,1541,1541,1538,1534,1529,1525,1525,1528,1536,1545,1552,1557,1560,1554,1562,1557,1552
47,"Pennsylvania",6,1163,1160,1154,1146,1134,1124,1118,1115,1115,1118,1122,1126,1129,1125,1118,1109,1103,1104,1110,1119,1130,1138,1143,1145,1143,1139,1134,1128,1127,1125,1127,1132,1138,1146,1156,1163,1166,1166,1166,1160,1157,1156,1153,1153,1153,1155,1163,1173,1181,1185,1186,1184,1183,1181,1182,1185,1190,1196,1204,1209,1211,1212,1210,1208,1208,1207,1207,1211,1217,1225,1233,1234,1235,1232,1228,1224,1221,1219,1219,1221,1226,1232,1237,1241,1242,1239,1235,1233,1232,1232,1234,1236,1241,1246,1251,1254,1254,1254,1255,1255,1247,1243,1242,1243,1249,1256,1263,1268,1271,1273,1274,1274,1274
44,"Ohio",7,855,859,862,862,869,871,872,874,877,882,889,895,898,897,895,891,891,891,893,891,888,886,886,887,891,894,896,895,892,889,887,889,891,895,900,903,908,912,914,915,915,915,915,913,915,918,931,942,952,955,952,950,950,953,959,966,976,987,994,998,1002,1005,1004,1000,996,992,988,987,990,994,998,1002,1003,1002,998,994,988,982,979,978,982,989,997,1002,1004,1003,1001,997,995,992,990,991,999,1008,1013,1014,1014,1015,1016,1019,1011,1007,1006,1007,1012,1015,1020,1024,1028,1042,1047,1036,1029
30,"Michigan",8,1012,,1080,1089,1080,1064,1050,1041,1043,1048,1057,1066,1067,1038,,,951,941,937,940,946,952,958,962,967,972,974,972,967,961,957,958,963,973,980,990,1002,1016,1017,1022,1015,1012,1008,1005,1006,1009,1020,1029,1037,1042,1041,1040,1040,1042,1047,1052,1059,1070,1077,1080,1082,1086,1088,1088,1089,1090,1090,1092,1098,1107,1114,1121,1128,1130,1130,1128,1124,1122,1119,1121,1127,1136,1147,1157,1159,1161,1159,1155,1148,1142,1141,1141,1146,1158,1168,1174,1176,1176,1172,1170,1169,1167,1165,1165,1168,1174,1183,1190,1192,1198,1198,1190,1186
16,"Georgia",9,1018,1034,1041,1046,1045,1044,1042,1042,1042,1045,1048,1049,1049,1048,1046,1043,1040,1038,1036,1033,1033,1034,1035,1036,1034,1033,1031,1028,1025,1024,1023,1027,1034,1043,1052,1060,1068,1076,1080,1083,1084,1084,1084,1087,1089,1093,1101,1110,1120,1129,1136,1141,1149,1154,1158,1162,1168,1175,1184,1190,1197,1200,1203,1206,1211,1215,1217,1220,1226,1234,1243,1251,1256,1259,1259,1258,1258,1258,1259,1262,1268,1276,1284,1289,1291,1291,1287,1283,1280,1280,1283,1285,1291,1300,1306,1311,1315,1319,1321,1323,1313,1310,1313,1318,1325,1333,1343,1351,1357,1374,1380,1386,1386
36,"North Carolina",10,898,,939,943,942,940,938,936,937,942,947,950,953,953,954,954,956,958,958,959,961,965,970,973,974,975,973,969,965,963,961,961,966,976,987,997,1003,1008,1011,1012,1010,1008,1006,1005,1005,1007,1014,1021,1025,1028,1029,1028,1030,1033,1038,1045,1055,1064,1070,1074,1079,1079,1078,1076,1076,1076,1079,1084,1092,1100,1108,1113,1119,1121,1120,1120,1119,1117,1117,1119,1125,1132,1139,1145,1146,1146,1143,1141,1144,1147,1150,1153,1160,1168,1173,1176,1178,1180,1183,1187,1183,1182,1180,1182,1187,1193,1202,1208,1212,1229,1233,1240,1245
