"Date","RegionName","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"United States",0,1602,0.0005,0.0017,0.0229,104715144
2020-01-31,"California",1,2560,0.0005,0.0046,0.0214,10892073
2020-01-31,"Texas",2,1378,-0.0028,0.0085,0.0211,8573952
2020-01-31,"New York",3,2235,-0.0113,-0.0047,0.0193,5550613
2020-01-31,"Florida",4,1617,-0.0002,-0.0009,0.0108,8870335
2020-01-31,"Illinois",5,1552,-0.0028,-0.0012,0.015,3538818
2020-01-31,"Pennsylvania",6,1274,0.0001,0.0007,0.0216,4047817
2020-01-31,"Ohio",7,1029,-0.0067,-0.013,0.0178,4071746
2020-01-31,"Michigan",8,1186,-0.0035,-0.0095,0.0145,2914081
2020-01-31,"Georgia",9,1386,0.0002,0.0087,0.0558,3817392
2020-01-31,"North Carolina",10,1245,0.004,0.0129,0.0526,3737048
2020-01-31,"New Jersey",11,1841,0.0035,0.0063,0.0217,2877733
2020-01-31,"Virginia",12,1627,0.0033,0.005,0.0292,2956646
2020-01-31,"Washington",13,1816,-0.0045,-0.0037,0.0261,2500827
2020-01-31,"Massachusetts",14,2177,0.0003,-0.0058,0.0386,2451929
2020-01-31,"Indiana",15,1036,-0.001,-0.0012,0.0204,2406952
2020-01-31,"Arizona",16,1414,-0.0008,0.016,0.0747,2381673
2020-01-31,"Tennessee",17,1195,0.0006,0.0038,0.0213,2504621
2020-01-31,"Missouri",18,958,-0.0051,0.0028,0.0317,2268405
2020-01-31,"Maryland",19,1681,0.0006,0.0032,0.014,2107129
2020-01-31,"Wisconsin",20,1110,-0.008,-0.0111,0.0156,768066
2020-01-31,"Minnesota",21,1449,0.01,0.0198,0.029,1802350
2020-01-31,"Colorado",22,1790,0.0063,0.0134,0.035,2171760
2020-01-31,"Alabama",23,1017,0.0093,0.005,0.0332,1672111
2020-01-31,"South Carolina",24,1263,-0.002,0.0054,0.0385,1576123
2020-01-31,"Louisiana",25,1203,0.0074,0.0785,0.0554,682521
2020-01-31,"Kentucky",26,1007,-0.0008,0.0043,0.023,1150608
2020-01-31,"Oregon",27,1615,0.0006,0.0225,0.0459,1280437
2020-01-31,"Oklahoma",28,914,0.0105,0.0116,0.0231,1329303
2020-01-31,"Connecticut",29,1472,0.0002,0.0012,0.0034,1757477
2020-01-31,"Iowa",30,953,0.0034,0.0064,-0.001,1159255
2020-01-31,"Mississippi",31,998,-0.0011,0.0061,0.014,671484
2020-01-31,"Arkansas",32,899,0.0031,0.0128,0.0293,861052
2020-01-31,"Kansas",33,956,0.0003,0.0036,0.0112,1070426
2020-01-31,"Utah",34,1435,-0.0043,-0.012,0.017,970815
2020-01-31,"Nevada",35,1410,0.0061,0.0147,0.0587,1100349
2020-01-31,"New Mexico",36,1164,-0.0103,-0.0143,0.0149,547447
2020-01-31,"West Virginia",37,908,0.0135,0.0338,0.0255,705970
2020-01-31,"Nebraska",38,1060,-0.0002,-0.0124,-0.0102,648829
2020-01-31,"Idaho",39,1299,-0.0028,0.0024,0.08,613526
2020-01-31,"Hawaii",40,2316,-0.001,-0.003,-0.0202,495758
2020-01-31,"Maine",41,1463,0.0072,0.0145,0.0508,424700
2020-01-31,"New Hampshire",42,1570,-0.0001,-0.0118,0.0284,564449
2020-01-31,"Rhode Island",43,1462,0.0022,0.0031,0.0372,379355
2020-01-31,"Montana",44,1256,-0.0022,-0.0118,0.0078,389413
2020-01-31,"Delaware",45,1370,-0.0019,-0.0004,0.012,340595
2020-01-31,"South Dakota",46,982,-0.001,-0.0008,-0.0011,221621
2020-01-31,"Alaska",47,1531,0.003,-0.008,0.0073,232768
2020-01-31,"North Dakota",48,1049,0.0183,0.0162,0.0325,116798
2020-01-31,"Vermont",49,1663,-0.0039,-0.0189,-0.0198,104008
2020-01-31,"District of Columbia",50,2348,-0.0023,-0.0045,0.0114,221860
2020-01-31,"Wyoming",51,1148,-0.0026,0.0122,0.0766,212098
