"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01"
9,"California",1,1530,1542,1544,1548,1540,1528,1517,1508,1504,1503,1508,1520,1532,1540,1547,1549,1549,1552,1560,1568,1578,1587,1595,1605,1615,1623,1629,1633,1642,1647,1658,1667,1676,1683,1687,1694,1701,1710,1716,1719,1728,1732,1731,1730,1736,1745,1768,1794,1817,1839,1864,1884,1902,1916,1927,1940,1954,1969,1984,2000,2010,2021,2029,2035,2043,2050,2059,2072,2085,2102,2116,2133,2143,2151,2156,2152,2145,2141,2144,2154,2164,2176,2186,2191,2190,2188,2182,2180,2177,2178,2183,2192,2199,2212,2217,2221,2225,2230,2231,2229,2240,2240,2235,2233,2249,2266,2278,2286,2291,2290,2295,2288,2289
54,"Texas",2,967,973,975,967,946,928,919,914,911,910,909,902,896,889,882,875,873,870,872,871,872,874,880,889,897,900,901,902,904,905,906,912,920,928,936,944,952,968,987,1003,1012,1017,1028,1039,1049,1056,1066,1074,1077,1080,1084,1089,1095,1101,1106,1112,1119,1128,1136,1144,1150,1152,1153,1155,1157,1159,1164,1170,1178,1184,1189,1193,1195,1195,1192,1186,1182,1179,1179,1179,1181,1188,1191,1194,1194,1191,1193,1191,1190,1191,1196,1200,1205,1211,1216,1219,1222,1225,1228,1231,1238,1236,1232,1228,1227,1228,1229,1230,1230,1240,1245,1253,1255
43,"New York",3,1575,1571,1572,1573,1562,1552,1545,1541,1539,1544,1556,1566,1574,1577,1577,1573,1574,1572,1575,1582,1592,1605,1619,1631,1635,1637,1641,1643,1647,1650,1656,1664,1679,1697,1718,1732,1748,1766,1777,1789,1796,1800,1802,1810,1813,1814,1825,1840,1848,1859,1864,1870,1876,1882,1895,1908,1921,1936,1956,1979,1999,2014,2025,2035,2037,2038,2039,2044,2049,2061,2074,2089,2101,2114,2121,2123,2123,2115,2110,2097,2093,2091,2096,2104,2107,2105,2101,2099,2097,2096,2098,2102,2108,2114,2118,2124,2128,2132,2136,2139,2141,2140,2136,2135,2136,2141,2145,2150,2156,2144,2138,2139,2136
14,"Florida",4,913,,957,961,965,970,975,978,979,981,984,989,994,996,999,1002,1005,1009,1013,1018,1025,1033,1039,1045,1047,1049,1049,1049,1049,1048,1048,1051,1057,1067,1077,1087,1093,1098,1104,1105,1109,1111,1114,1116,1120,1124,1132,1141,1148,1155,1162,1169,1178,1185,1192,1201,1210,1218,1223,1228,1231,1237,1244,1251,1261,1270,1277,1287,1299,1308,1317,1323,1326,1329,1331,1330,1328,1326,1325,1325,1328,1333,1338,1343,1344,1343,1344,1346,1349,1354,1359,1366,1372,1381,1387,1391,1393,1398,1401,1404,1407,1407,1408,1408,1411,1415,1419,1423,1425,1428,1431,1432,1431
21,"Illinois",5,1144,1174,1183,1195,1194,1193,1193,1195,1199,1201,1200,1198,1198,1195,1194,1189,1185,1183,1178,1175,1176,1174,1178,1186,1190,1192,1191,1183,1200,1208,1217,1231,1242,1248,1255,1267,1276,1281,1284,1285,1288,1289,1290,1296,1298,1299,1308,1314,1328,1334,1335,1333,1337,1339,1341,1340,1344,1350,1354,1358,1345,1338,1334,1338,1339,1343,1345,1350,1356,1364,1370,1374,1375,1368,1362,1355,1351,1349,1350,1356,1365,1373,1383,1388,1389,1385,1381,1373,1369,1368,1376,1380,1389,1398,1406,1409,1410,1410,1408,1404,1396,1392,1395,1402,1413,1424,1434,1440,1441,1435,1436,1435,1403
47,"Pennsylvania",6,975,979,978,972,959,946,935,926,919,917,919,924,929,925,922,919,914,915,919,924,932,940,945,948,952,951,951,951,954,954,956,961,967,969,978,986,986,985,984,975,972,971,971,974,976,978,983,992,999,1001,1002,999,998,997,998,1000,1010,1019,1032,1040,1041,1040,1038,1037,1040,1040,1042,1047,1059,1072,1082,1084,1084,1081,1076,1073,1071,1073,1076,1081,1087,1094,1099,1104,1109,1106,1105,1108,1111,1109,1110,1113,1120,1131,1139,1144,1145,1144,1143,1143,1145,1144,1144,1147,1151,1158,1165,1172,1178,1185,1189,1190,1205
44,"Ohio",7,717,718,720,720,718,716,711,707,704,701,702,706,708,709,709,709,713,712,712,713,713,715,717,721,725,730,735,737,736,735,735,735,737,742,744,746,748,750,751,751,752,753,758,763,766,771,775,778,780,781,780,782,784,786,790,797,809,820,827,831,832,833,837,838,839,839,841,846,854,859,862,864,862,859,855,852,850,847,847,848,853,858,863,864,863,861,860,858,857,857,858,861,866,876,882,883,883,883,883,885,890,891,890,891,898,902,904,904,904,906,916,914,925
30,"Michigan",8,780,789,791,792,784,776,772,771,773,779,784,791,794,780,762,747,739,736,735,736,739,740,740,740,741,745,748,747,743,740,737,738,741,746,751,754,754,761,762,768,768,767,769,772,776,778,782,785,789,794,796,796,795,793,795,796,801,806,805,809,810,810,809,810,813,817,819,821,825,828,832,835,838,839,837,837,838,838,840,844,849,857,864,871,874,878,879,880,879,880,881,883,884,897,905,909,912,913,914,914,919,918,912,907,906,909,916,925,932,953,964,969,963
16,"Georgia",9,903,903,903,905,898,893,891,891,893,898,903,907,911,912,912,910,907,907,907,907,907,909,911,917,921,924,924,920,915,912,910,912,917,924,932,939,946,951,953,964,976,982,988,995,1002,1008,1020,1029,1036,1043,1047,1052,1060,1066,1071,1075,1079,1087,1096,1103,1109,1114,1121,1128,1136,1142,1147,1152,1156,1163,1169,1179,1184,1186,1185,1183,1184,1186,1191,1196,1203,1214,1225,1233,1233,1232,1231,1229,1228,1228,1229,1232,1238,1246,1252,1258,1263,1268,1272,1274,1273,1271,1272,1276,1280,1283,1289,1293,1296,1309,1310,1315,1318
36,"North Carolina",10,871,880,884,887,878,868,856,846,838,831,825,823,822,823,823,824,825,828,833,836,841,845,848,851,854,856,857,854,851,849,847,848,853,861,870,876,880,888,891,896,898,898,897,894,892,893,897,901,904,905,906,906,912,914,916,920,928,936,945,951,953,954,957,960,964,967,975,989,1005,1017,1028,1034,1039,1043,1044,1041,1037,1033,1032,1033,1040,1049,1058,1064,1063,1061,1059,1059,1062,1064,1070,1076,1083,1096,1106,1111,1115,1119,1122,1126,1132,1132,1130,1134,1141,1147,1155,1161,1162,1174,1175,1178,1190
