,geo_id,geoidsl,geoidsc,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,do_date
0,54107,54107,54107,12509.0,22929.0,1966.0,883.0,2055.0,909.0,594.0,773.0,540.0,535.0,406.0,1169.0,913.0,86990.0,42096.0,44894.0,41.7,,,,,,,,,,35438.0,39689.0,23165.0,40218.0,4780.0,733.0,865.0,428.0,32.5,26661.0,295.0,14128.0,5606.0,3725.0,1489.0,1873.0,80.0,283.0,1881.0,123.0,77.0,7896.0,7762.0,4973.0,2220.0,3744.0,677.0,647870.0,2591.0,3465.0,2278.0,2857.0,1701.0,2307.0,2659.0,1589.0,2028.0,2600.0,3398.0,3853.0,1943.0,689.0,772.0,708.0,580.0,70300.0,100700.0,164000.0,18815.0,35438.0,8777.0,31047.0,467.0,1064.0,1069.0,1268.0,647.0,143.0,517.0,3996.0,1246.0,2195.0,6694.0,2459.0,2608.0,2983.0,1688.0,1033.0,461.0,164.0,1607.0,2280.0,2640.0,2951.0,2566.0,3316.0,3312.0,3396.0,1241.0,1074.0,1273.0,1401.0,1220.0,961.0,803.0,659.0,2460.0,3071.0,2039.0,1642.0,963.0,778.0,283.0,1158.0,2689.0,2548.0,2621.0,3025.0,3385.0,3430.0,3382.0,1262.0,1736.0,1180.0,1096.0,2039.0,1713.0,886.0,1508.0,83733.0,1116.0,37.0,491.0,4585.0,142.0,109.0,947.0,455.0,8896.0,,,,,,,6323.0,5658.0,,8647.0,18950.0,3306.0,,,,,,6866.0,1591.0,402.0,3599.0,2676.0,8977.0,1801.0,480.0,4108.0,1472.0,1928.0,5083.0,3009.0,2253.0,746.0,47.0,1734.0,0.462,,,,5234.0,4524.0,4152.0,3951.0,20764.0,5180.0,,1148.0,1359.0,949.0,402.0,435.0,4270.0,3776.0,12339.0,34.0,11758.0,750.0,2506.0,61.0,11758.0,4019.0,5211.0,9052.0,6494.0,12644.0,14378.0,4176.0,46854.0,85449.0,85874.0,83857.0,12414.0,9052.0,,,,,5470.0,6528.0,17668.0,4923.0,2554.0,12357.0,61593.0,,,,,,,,,,71370.0,15955.0,38839.0,673.0,5845.0,9858.0,2010
1,48485,48485,48485,18468.0,29139.0,1970.0,853.0,4121.0,2269.0,1047.0,1283.0,2309.0,1969.0,1818.0,1678.0,337.0,131685.0,67697.0,63988.0,34.4,,,,,,,,,,47607.0,38689.0,20010.0,55578.0,7971.0,2695.0,1537.0,529.0,31.2,29923.0,13.0,17414.0,10078.0,7203.0,4477.0,2505.0,137.0,84.0,2875.0,216.0,173.0,16150.0,12808.0,6617.0,957.0,2047.0,978.0,815540.0,3894.0,5141.0,2819.0,3103.0,3266.0,2983.0,3707.0,2395.0,2416.0,4456.0,4333.0,3945.0,2510.0,1375.0,524.0,740.0,678.0,56600.0,86900.0,126500.0,20799.0,47607.0,17684.0,38631.0,2219.0,2282.0,2086.0,2395.0,3082.0,1150.0,1858.0,1831.0,2947.0,1900.0,6240.0,4432.0,4357.0,4622.0,2605.0,2365.0,1807.0,1258.0,4715.0,5564.0,4391.0,4689.0,3468.0,5447.0,4151.0,3530.0,1703.0,1165.0,979.0,1018.0,1906.0,1797.0,1050.0,678.0,4038.0,3756.0,4425.0,2016.0,1993.0,1559.0,1087.0,3764.0,4546.0,3945.0,3935.0,2908.0,4122.0,4668.0,3635.0,837.0,2459.0,990.0,1667.0,2118.0,2251.0,1630.0,1639.0,108844.0,14353.0,1013.0,3014.0,12760.0,140.0,187.0,769.0,414.0,8783.0,,,1339.0,71.0,1315.0,638.0,6574.0,5433.0,10309.0,12204.0,30251.0,10801.0,,,,,,17388.0,11469.0,1514.0,4349.0,3185.0,12558.0,3184.0,1530.0,4749.0,3946.0,4902.0,8353.0,3585.0,1835.0,1243.0,75.0,2399.0,0.447,4850.0,12350.0,28536.0,6294.0,6903.0,6926.0,6577.0,34377.0,7083.0,14955.0,1388.0,1628.0,951.0,752.0,1796.0,6300.0,3181.0,15996.0,88.0,15144.0,450.0,2727.0,7264.0,15144.0,4707.0,8392.0,15565.0,11125.0,19507.0,16804.0,6170.0,65163.0,120659.0,130541.0,127956.0,20067.0,15565.0,24236.0,,,,4603.0,10309.0,21333.0,5765.0,3389.0,13868.0,82886.0,,,,,,,,,,106055.0,35458.0,46577.0,3512.0,6632.0,12611.0,2010
2,27141,27141,27141,7688.0,22289.0,1991.0,57.0,1188.0,560.0,151.0,413.0,641.0,555.0,375.0,640.0,273.0,88691.0,46186.0,42505.0,33.6,,,,,,,,,,29977.0,69971.0,26916.0,32393.0,2416.0,,,759.0,29.3,,,20548.0,7826.0,6567.0,5033.0,1469.0,65.0,0.0,1259.0,446.0,343.0,4049.0,5247.0,4295.0,1796.0,4653.0,6077.0,1237095.0,642.0,567.0,926.0,1643.0,704.0,1135.0,1512.0,1327.0,866.0,3251.0,4524.0,5968.0,3315.0,1546.0,1274.0,777.0,846.0,156000.0,192200.0,262500.0,18850.0,29977.0,4853.0,26300.0,2115.0,0.0,209.0,658.0,648.0,885.0,851.0,727.0,2418.0,6632.0,2185.0,3589.0,3432.0,4272.0,2252.0,1473.0,557.0,291.0,2064.0,3173.0,3666.0,3387.0,3484.0,3906.0,3048.0,2302.0,959.0,981.0,434.0,926.0,764.0,337.0,618.0,271.0,2963.0,4648.0,2856.0,1935.0,912.0,285.0,347.0,1736.0,2606.0,2930.0,3040.0,3815.0,3408.0,2950.0,2122.0,916.0,1015.0,605.0,664.0,909.0,749.0,538.0,556.0,83374.0,2164.0,597.0,1372.0,3302.0,1537.0,2560.0,4522.0,982.0,4629.0,,,,,,,6621.0,4177.0,,12247.0,25947.0,2591.0,,,,,,11582.0,1822.0,473.0,2600.0,3384.0,9724.0,1619.0,422.0,7860.0,2383.0,1739.0,5838.0,3292.0,2671.0,1189.0,59.0,3942.0,0.361,,4393.0,,952.0,6320.0,5170.0,5809.0,25304.0,4228.0,,1534.0,1800.0,689.0,0.0,579.0,3374.0,3220.0,11196.0,0.0,14132.0,363.0,684.0,1623.0,14132.0,5263.0,5932.0,11311.0,6556.0,5091.0,13814.0,6446.0,47708.0,84680.0,87249.0,84546.0,7308.0,11311.0,,,,,7306.0,9447.0,11063.0,4491.0,3704.0,12226.0,55079.0,,,,,,,,,,66931.0,18872.0,38814.0,964.0,2046.0,6137.0,2010
3,05085,05085,05085,5809.0,18893.0,1992.0,301.0,1285.0,454.0,341.0,486.0,845.0,450.0,694.0,784.0,0.0,68634.0,34253.0,34381.0,34.8,,,,,,,,,,24702.0,49367.0,21790.0,27312.0,2610.0,,,504.0,29.4,19062.0,60.0,12524.0,6112.0,4041.0,3325.0,563.0,46.0,107.0,2071.0,455.0,455.0,3377.0,4027.0,4393.0,3959.0,4422.0,2121.0,774960.0,2007.0,1097.0,1077.0,1756.0,841.0,1112.0,1674.0,1553.0,1350.0,2174.0,3071.0,3270.0,2004.0,1126.0,419.0,171.0,673.0,79900.0,113700.0,160300.0,13982.0,24702.0,5640.0,19652.0,169.0,677.0,788.0,240.0,233.0,279.0,0.0,5274.0,3916.0,5064.0,786.0,2521.0,2960.0,2302.0,1447.0,1204.0,432.0,1246.0,1234.0,2519.0,2162.0,1834.0,2827.0,2361.0,2427.0,1797.0,867.0,592.0,683.0,441.0,1249.0,476.0,460.0,212.0,2280.0,2852.0,2578.0,1397.0,554.0,344.0,211.0,1521.0,2323.0,2490.0,2372.0,2736.0,2393.0,2303.0,2322.0,575.0,662.0,468.0,943.0,1219.0,629.0,845.0,364.0,61028.0,4491.0,179.0,333.0,2551.0,1882.0,1476.0,592.0,653.0,4801.0,,,248.0,43.0,,,4405.0,3213.0,,6113.0,18337.0,5343.0,,,,,,8023.0,3417.0,784.0,1616.0,3093.0,5924.0,1455.0,491.0,2573.0,1753.0,3166.0,4306.0,2466.0,2147.0,1332.0,0.0,1399.0,0.384,,,,2312.0,4620.0,3551.0,3102.0,17496.0,3292.0,,402.0,1103.0,639.0,111.0,492.0,3450.0,1847.0,8044.0,0.0,9681.0,2773.0,1386.0,2199.0,9681.0,5387.0,3229.0,8803.0,4006.0,7869.0,10612.0,3436.0,35562.0,67966.0,67397.0,65348.0,8696.0,8803.0,,,,,4234.0,4562.0,13529.0,3113.0,2034.0,6609.0,43551.0,,,,,,,,,,53141.0,12291.0,29963.0,1759.0,3049.0,6079.0,2010
4,09015,09015,09015,14108.0,30648.0,1970.0,1080.0,3180.0,1355.0,253.0,1190.0,1671.0,1303.0,1768.0,722.0,271.0,118519.0,58036.0,60483.0,39.3,,,,,,,,,,44756.0,60026.0,28424.0,49081.0,4325.0,,,709.0,30.5,31963.0,454.0,23693.0,7021.0,4736.0,3867.0,840.0,29.0,0.0,2285.0,466.0,466.0,8118.0,7267.0,6796.0,2786.0,7231.0,5210.0,1483510.0,2709.0,2642.0,2031.0,1983.0,1983.0,1323.0,2299.0,2005.0,1891.0,3503.0,5544.0,6480.0,4704.0,2127.0,2215.0,1317.0,872.0,175900.0,227800.0,296900.0,23768.0,44756.0,12793.0,33585.0,2714.0,2384.0,4284.0,2967.0,1023.0,276.0,489.0,1359.0,2779.0,2677.0,13108.0,2710.0,3109.0,4507.0,2723.0,2158.0,819.0,1524.0,2131.0,3313.0,3154.0,4204.0,4244.0,4840.0,4896.0,4228.0,1381.0,1507.0,888.0,1306.0,1511.0,1094.0,916.0,873.0,3515.0,3666.0,3998.0,2201.0,2445.0,822.0,1086.0,1702.0,3533.0,3701.0,3412.0,4595.0,5159.0,4637.0,4376.0,1435.0,1608.0,1151.0,1402.0,1815.0,1231.0,858.0,2135.0,109773.0,2132.0,433.0,1275.0,6271.0,2141.0,2461.0,3592.0,1370.0,7915.0,,,,,524.0,297.0,8670.0,6742.0,10729.0,15772.0,26429.0,5816.0,,,,,,12650.0,1229.0,994.0,5194.0,4163.0,17036.0,2178.0,622.0,6704.0,2546.0,2529.0,7230.0,4127.0,2755.0,1651.0,51.0,3460.0,0.434,7827.0,3464.0,30543.0,6151.0,5772.0,7140.0,6985.0,31926.0,8340.0,10242.0,2100.0,2378.0,1424.0,668.0,1417.0,6495.0,2370.0,16852.0,53.0,18829.0,1423.0,3287.0,1947.0,18829.0,6155.0,8426.0,13372.0,10947.0,13077.0,17046.0,7886.0,64223.0,114961.0,117532.0,114933.0,14176.0,13372.0,20062.0,,,,5534.0,10729.0,25880.0,5107.0,5593.0,9421.0,79403.0,,,,,,,,,,97014.0,30066.0,49718.0,1343.0,4992.0,10184.0,2010
5,40145,40145,40145,5613.0,20677.0,1987.0,629.0,1150.0,353.0,537.0,334.0,286.0,600.0,212.0,483.0,87.0,73349.0,35268.0,38081.0,38.3,,,,,,,,,,26290.0,57884.0,24366.0,29786.0,3496.0,569.0,448.0,457.0,35.2,21619.0,95.0,14679.0,5891.0,4598.0,2077.0,2144.0,249.0,128.0,1293.0,510.0,407.0,3143.0,5199.0,6758.0,3807.0,6266.0,1134.0,719100.0,1221.0,980.0,1460.0,1482.0,1318.0,1549.0,1323.0,1155.0,1069.0,2184.0,3530.0,3959.0,2416.0,1426.0,971.0,247.0,695.0,89800.0,136300.0,181300.0,16527.0,26290.0,4671.0,23124.0,549.0,164.0,460.0,361.0,200.0,534.0,82.0,4312.0,4591.0,4175.0,449.0,2314.0,2811.0,2936.0,1306.0,365.0,469.0,587.0,1315.0,2018.0,2388.0,2164.0,2916.0,2357.0,2559.0,1790.0,1468.0,1276.0,483.0,875.0,1474.0,766.0,434.0,197.0,2666.0,3247.0,2420.0,1829.0,1373.0,432.0,432.0,888.0,2152.0,2255.0,2323.0,3271.0,2476.0,2633.0,2115.0,1168.0,1336.0,1154.0,897.0,1109.0,408.0,647.0,850.0,56666.0,2492.0,6330.0,252.0,3325.0,728.0,787.0,641.0,143.0,4098.0,,,,,,,4116.0,3807.0,,9121.0,19529.0,3063.0,,,,,,8716.0,1311.0,594.0,3153.0,2833.0,7659.0,2560.0,955.0,4196.0,1631.0,1459.0,4358.0,3010.0,1984.0,1054.0,0.0,2434.0,0.395,,,,2691.0,4698.0,4676.0,3687.0,19840.0,3672.0,,1054.0,906.0,589.0,217.0,651.0,3193.0,2840.0,9450.0,0.0,10315.0,230.0,859.0,1364.0,10315.0,3668.0,4410.0,10008.0,7045.0,5221.0,11660.0,6116.0,38665.0,72907.0,71978.0,70161.0,8898.0,10008.0,,,,,3986.0,8299.0,12541.0,5651.0,1681.0,7777.0,47959.0,,,,,,,,,,56955.0,11698.0,34088.0,1088.0,3412.0,5912.0,2010
6,55055,55055,55055,10179.0,21716.0,1971.0,577.0,2026.0,882.0,503.0,972.0,1392.0,1001.0,990.0,692.0,127.0,83693.0,41670.0,42023.0,38.6,,,,,,,,,,31895.0,49611.0,23564.0,35166.0,3271.0,633.0,580.0,598.0,30.5,22733.0,36.0,16122.0,5540.0,3802.0,2692.0,1060.0,50.0,0.0,1738.0,182.0,182.0,5455.0,4700.0,4964.0,2747.0,4305.0,3248.0,916400.0,1530.0,2151.0,1797.0,1949.0,1857.0,2069.0,1753.0,1467.0,1469.0,3359.0,3768.0,3769.0,2643.0,792.0,867.0,655.0,690.0,141400.0,185000.0,248100.0,16928.0,31895.0,9162.0,23112.0,2921.0,1856.0,1759.0,1468.0,897.0,906.0,361.0,1886.0,2131.0,3537.0,9533.0,2347.0,2553.0,3555.0,1856.0,1802.0,677.0,674.0,1398.0,2183.0,2492.0,2124.0,3275.0,3650.0,3123.0,3095.0,895.0,1132.0,499.0,897.0,1466.0,786.0,577.0,614.0,2439.0,2358.0,2814.0,1873.0,1473.0,805.0,616.0,1507.0,2334.0,2599.0,2703.0,2909.0,3141.0,3168.0,2611.0,1031.0,1446.0,465.0,1299.0,1440.0,1269.0,798.0,925.0,79856.0,620.0,85.0,835.0,7177.0,1593.0,1462.0,1636.0,604.0,5294.0,,,,,,,6075.0,4987.0,9719.0,11959.0,19795.0,4636.0,,,,,,5765.0,2925.0,1136.0,3813.0,2468.0,8989.0,1783.0,339.0,8194.0,1585.0,2032.0,5133.0,3417.0,2062.0,1729.0,245.0,2748.0,0.405,4326.0,2061.0,19955.0,3624.0,4295.0,5151.0,4810.0,23575.0,6158.0,4256.0,1219.0,1869.0,641.0,204.0,664.0,4672.0,2626.0,11895.0,103.0,12591.0,225.0,1383.0,2447.0,12591.0,3713.0,8296.0,10453.0,7627.0,10595.0,12399.0,4770.0,43911.0,81099.0,82921.0,81223.0,9714.0,10453.0,16690.0,,,,5046.0,9719.0,16981.0,4616.0,3607.0,7028.0,54946.0,,,,,,,,,,67627.0,19687.0,35273.0,880.0,3680.0,7451.0,2010
7,23003,23003,23003,12178.0,18010.0,1969.0,821.0,1414.0,476.0,331.0,654.0,970.0,1136.0,935.0,1037.0,666.0,71720.0,35144.0,36576.0,45.1,,,,,,,,,,30188.0,36403.0,21490.0,39538.0,9350.0,1068.0,1011.0,433.0,25.2,21748.0,11.0,11841.0,4109.0,2770.0,2124.0,569.0,50.0,27.0,1339.0,376.0,376.0,5692.0,3824.0,3741.0,1225.0,2693.0,660.0,513755.0,2815.0,3001.0,2232.0,2718.0,1956.0,1790.0,1830.0,1545.0,1527.0,2243.0,2982.0,2699.0,1405.0,488.0,458.0,499.0,510.0,59300.0,95000.0,160500.0,14971.0,30188.0,8440.0,29243.0,123.0,2386.0,1679.0,1006.0,573.0,510.0,346.0,3645.0,1459.0,2227.0,9784.0,1782.0,1373.0,2719.0,1565.0,1015.0,176.0,632.0,1060.0,1682.0,1671.0,2291.0,2054.0,2891.0,2900.0,2747.0,956.0,1672.0,649.0,1112.0,1647.0,1326.0,930.0,294.0,1622.0,1910.0,2105.0,1313.0,883.0,555.0,519.0,953.0,1698.0,1903.0,2106.0,2116.0,2830.0,2953.0,2744.0,1105.0,1664.0,617.0,1624.0,1512.0,1562.0,1440.0,842.0,68409.0,409.0,1109.0,38.0,5485.0,514.0,499.0,761.0,449.0,6164.0,,,,,,,5605.0,5375.0,,7406.0,14389.0,3327.0,,,,,,,,1467.0,2255.0,991.0,9950.0,1098.0,606.0,3608.0,1218.0,1873.0,4520.0,1910.0,1202.0,901.0,0.0,1016.0,0.446,,1598.0,,7019.0,2339.0,4282.0,3845.0,16844.0,3805.0,,730.0,1490.0,724.0,571.0,688.0,4548.0,2415.0,11166.0,16.0,9633.0,639.0,2304.0,1413.0,9633.0,3277.0,5249.0,6929.0,6511.0,11179.0,12067.0,3622.0,37983.0,70149.0,,69702.0,9028.0,6929.0,,,,,4583.0,6356.0,17301.0,3592.0,1731.0,6873.0,51538.0,,,,,,,,,,60209.0,14594.0,31537.0,755.0,4265.0,8113.0,2010
8,13063,13063,13063,33356.0,51027.0,1986.0,2625.0,10988.0,3979.0,2583.0,2460.0,4798.0,3111.0,3517.0,1010.0,418.0,259623.0,124794.0,134829.0,31.6,,,,,,,,,,84383.0,35672.0,16768.0,104695.0,20312.0,8178.0,2439.0,659.0,37.2,48894.0,81.0,39657.0,25499.0,12397.0,6241.0,4957.0,1113.0,86.0,13102.0,2932.0,2465.0,10522.0,12708.0,18230.0,6646.0,19539.0,10305.0,2946505.0,7759.0,5958.0,6741.0,7370.0,6359.0,7161.0,4823.0,4867.0,4344.0,7322.0,7523.0,6745.0,3952.0,2203.0,646.0,610.0,831.0,80900.0,109400.0,147500.0,27457.0,84383.0,35489.0,65646.0,4607.0,1079.0,4455.0,13117.0,7088.0,2625.0,2275.0,3803.0,8072.0,16695.0,730.0,11332.0,9722.0,11055.0,6495.0,4581.0,1862.0,602.0,7003.0,9495.0,9417.0,8505.0,9213.0,9033.0,8203.0,5825.0,1844.0,3351.0,1157.0,2275.0,1327.0,1123.0,670.0,704.0,10696.0,10656.0,9162.0,5785.0,3512.0,2054.0,3306.0,5203.0,10350.0,10494.0,9865.0,10569.0,10441.0,9595.0,8115.0,2024.0,2961.0,2056.0,2063.0,1885.0,1413.0,1450.0,1174.0,51358.0,170321.0,400.0,13039.0,6387.0,3409.0,6337.0,5741.0,2281.0,12151.0,1557.0,687.0,10919.0,6100.0,1612.0,821.0,3092.0,3289.0,18798.0,24035.0,74903.0,35240.0,2746.0,94438.0,14150.0,498.0,80288.0,44114.0,4052.0,612.0,11604.0,8510.0,17725.0,5925.0,2489.0,7899.0,5462.0,6103.0,13593.0,12046.0,13501.0,2320.0,138.0,3385.0,0.421,7385.0,4872.0,49765.0,16788.0,17023.0,15772.0,16782.0,76886.0,15739.0,30392.0,3008.0,3222.0,1042.0,2398.0,3805.0,8376.0,6405.0,28256.0,63.0,27167.0,6685.0,7782.0,24820.0,27167.0,11120.0,19702.0,28329.0,21471.0,38725.0,25274.0,9217.0,139300.0,254002.0,255002.0,246445.0,58866.0,28329.0,50257.0,2231.0,1650.0,104817.0,12509.0,18798.0,40513.0,10399.0,5921.0,27349.0,156597.0,,,,,,,,,,197000.0,85917.0,67518.0,6674.0,8751.0,23006.0,2010
9,26017,26017,26017,15150.0,28914.0,1963.0,733.0,1860.0,654.0,1254.0,725.0,1103.0,712.0,983.0,1344.0,366.0,107703.0,52731.0,54972.0,41.5,,,,,,,,,,44064.0,45451.0,22378.0,48200.0,4136.0,884.0,1210.0,454.0,30.0,34330.0,140.0,19923.0,7417.0,4065.0,2564.0,1350.0,123.0,28.0,3352.0,334.0,334.0,8637.0,6826.0,7722.0,4236.0,6375.0,1701.0,913460.0,3457.0,2595.0,3070.0,3094.0,2113.0,1994.0,3029.0,2498.0,2500.0,4126.0,4506.0,5729.0,2931.0,1223.0,879.0,320.0,556.0,66600.0,95800.0,147800.0,21785.0,44064.0,9734.0,36967.0,2009.0,1341.0,1032.0,1307.0,669.0,883.0,1610.0,2313.0,1255.0,3064.0,10737.0,3257.0,3758.0,2899.0,2273.0,1330.0,793.0,702.0,1950.0,3328.0,2827.0,3106.0,3694.0,3957.0,4106.0,3513.0,1363.0,2398.0,1079.0,1172.0,2190.0,1439.0,673.0,924.0,3158.0,2611.0,4074.0,1900.0,1386.0,643.0,495.0,1843.0,2954.0,3339.0,2755.0,3595.0,3866.0,4747.0,3752.0,1251.0,2488.0,720.0,1730.0,2425.0,1055.0,2150.0,2035.0,101624.0,929.0,545.0,591.0,5215.0,638.0,575.0,505.0,729.0,11853.0,,,,,159.0,214.0,7711.0,6979.0,10271.0,12667.0,23930.0,8265.0,,,,,,,,368.0,3462.0,2711.0,12717.0,2072.0,740.0,5628.0,2448.0,2120.0,7430.0,3721.0,2275.0,1775.0,74.0,2386.0,0.404,4916.0,1926.0,24720.0,7524.0,4922.0,5895.0,5586.0,25555.0,5882.0,9175.0,1616.0,2019.0,915.0,673.0,739.0,5416.0,3959.0,15337.0,109.0,15095.0,638.0,3624.0,706.0,15095.0,4736.0,5562.0,12391.0,9683.0,14466.0,17765.0,5823.0,57039.0,106733.0,,103873.0,17289.0,12391.0,25549.0,,,,8985.0,10271.0,21829.0,6640.0,3899.0,9924.0,74631.0,,,,,,,,,,87946.0,25030.0,44912.0,1063.0,6305.0,10507.0,2010
