,geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,do_date,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced
0,48451,16121.0,27376.0,1974.0,792.0,3429.0,1310.0,1228.0,1980.0,2434.0,1234.0,1918.0,1641.0,1048.0,118386.0,58379.0,60007.0,33.8,63813.0,5217.0,991.0,46505.0,221.0,79.0,1560.0,71881.0,,43497.0,48696.0,27375.0,48470.0,4973.0,1504.0,671.0,687.0,29.7,26483.0,0.0,14545.0,,,,,,,,,,17287.0,12181.0,4759.0,1500.0,2252.0,733.0,1005940.0,2232.0,2285.0,2752.0,2862.0,2809.0,2711.0,3197.0,1377.0,1946.0,3519.0,5112.0,4253.0,3384.0,1773.0,1722.0,1563.0,846.0,81000.0,139900.0,210200.0,19866.0,43497.0,17014.0,33571.0,1809.0,731.0,1025.0,1349.0,905.0,894.0,4601.0,3527.0,809.0,1736.0,1887.0,4084.0,3388.0,4021.0,2208.0,3519.0,1109.0,1414.0,2253.0,4991.0,4632.0,3272.0,2888.0,3180.0,2996.0,3366.0,1317.0,1761.0,826.0,1962.0,1916.0,982.0,1319.0,975.0,4332.0,3246.0,4380.0,2057.0,2040.0,1410.0,902.0,2166.0,4554.0,4491.0,3049.0,3627.0,3129.0,3660.0,3523.0,1459.0,2149.0,837.0,2145.0,2416.0,1645.0,1285.0,1505.0,105757.0,5937.0,506.0,1289.0,11250.0,163.0,189.0,960.0,1947.0,8271.0,2924.0,58573.0,56349.0,2224.0,32107.0,93604.0,61497.0,,,,,2342.0,1983.0,3499.0,4231.0,12911.0,13887.0,27716.0,7106.0,,,,,,12663.0,10015.0,3064.0,5311.0,3514.0,14796.0,3158.0,1460.0,3645.0,2348.0,2691.0,9368.0,4615.0,1061.0,1318.0,0.0,1908.0,0.449,6062.0,6070.0,21390.0,5037.0,6364.0,6289.0,5979.0,32010.0,8933.0,11907.0,927.0,1616.0,1022.0,1057.0,1967.0,3360.0,2671.0,12620.0,100.0,16348.0,1531.0,2345.0,3938.0,16348.0,6397.0,6759.0,15132.0,11713.0,16445.0,17235.0,5564.0,58044.0,112663.0,117687.0,113296.0,13387.0,15132.0,23587.0,,,,4749.0,12911.0,17130.0,4693.0,4185.0,14145.0,75857.0,,,,,,,,,,2016,,,,,,
1,26037,8353.0,20591.0,1980.0,893.0,947.0,410.0,426.0,128.0,330.0,392.0,896.0,520.0,436.0,77888.0,38323.0,39565.0,40.1,,,,,,,,,,28944.0,65730.0,32622.0,31301.0,2357.0,478.0,335.0,628.0,25.0,23566.0,128.0,14669.0,5044.0,4276.0,2931.0,1282.0,63.0,0.0,768.0,112.0,112.0,4112.0,6570.0,7066.0,2984.0,4809.0,1405.0,830755.0,1491.0,698.0,1016.0,740.0,1771.0,1493.0,864.0,1038.0,1204.0,2642.0,3302.0,4310.0,3115.0,1856.0,1558.0,1846.0,742.0,117800.0,172800.0,246300.0,17253.0,28944.0,5378.0,24607.0,679.0,179.0,688.0,881.0,1789.0,318.0,190.0,1939.0,686.0,764.0,1189.0,2040.0,3336.0,1948.0,1689.0,854.0,602.0,330.0,1384.0,2341.0,2191.0,2613.0,1784.0,2623.0,3025.0,2928.0,1057.0,1492.0,917.0,985.0,1796.0,1063.0,716.0,609.0,2046.0,2430.0,2636.0,1748.0,996.0,578.0,763.0,1439.0,2112.0,2257.0,2493.0,2244.0,2772.0,2907.0,2952.0,1072.0,1507.0,1140.0,902.0,1639.0,1032.0,723.0,1177.0,73219.0,1298.0,204.0,1540.0,2844.0,1429.0,1043.0,1147.0,633.0,8029.0,26.0,39745.0,38291.0,1454.0,22546.0,62317.0,39771.0,,,,,336.0,123.0,5106.0,5234.0,10518.0,14056.0,17873.0,2846.0,,,,,,,,782.0,2420.0,2472.0,9206.0,3083.0,637.0,4524.0,1808.0,3308.0,4142.0,3801.0,1418.0,690.0,70.0,2212.0,0.4254,6880.0,732.0,14857.0,1526.0,4275.0,3731.0,4391.0,21261.0,5342.0,2618.0,1091.0,2516.0,1083.0,170.0,228.0,3191.0,2846.0,11125.0,68.0,15231.0,694.0,1120.0,1244.0,15231.0,3586.0,4189.0,9078.0,6207.0,7667.0,12675.0,5270.0,40370.0,77205.0,,75683.0,7476.0,9078.0,18196.0,,,,5267.0,10518.0,13219.0,4480.0,4432.0,8449.0,53069.0,,,,,,,,,,2016,,,,,,
2,22079,15320.0,32425.0,1974.0,2732.0,4219.0,1375.0,1681.0,2347.0,1408.0,1361.0,1936.0,1241.0,781.0,132424.0,64622.0,67802.0,37.4,,,,,,,,,,47745.0,42582.0,24764.0,57526.0,9781.0,1839.0,417.0,567.0,33.1,28664.0,74.0,14459.0,10431.0,5065.0,3379.0,1403.0,198.0,85.0,5366.0,1499.0,1499.0,9417.0,11877.0,9270.0,2834.0,5171.0,1855.0,1314015.0,4307.0,3073.0,4247.0,2571.0,3280.0,2289.0,2758.0,1983.0,1994.0,3051.0,4696.0,5326.0,2860.0,1766.0,1695.0,1849.0,761.0,82700.0,133400.0,212800.0,20239.0,47745.0,19081.0,38803.0,1100.0,2650.0,2181.0,2008.0,495.0,445.0,1279.0,8565.0,805.0,2799.0,4999.0,4667.0,4758.0,4767.0,3076.0,2264.0,581.0,1136.0,2339.0,4268.0,3515.0,4045.0,4131.0,3866.0,4353.0,4062.0,2193.0,1854.0,1107.0,1995.0,2368.0,1606.0,1035.0,636.0,4387.0,3354.0,5477.0,2696.0,1851.0,694.0,553.0,2416.0,4528.0,4722.0,4789.0,3313.0,3914.0,4503.0,4587.0,1958.0,2441.0,1480.0,1675.0,3213.0,1682.0,1157.0,2412.0,84072.0,42337.0,701.0,2230.0,6424.0,1286.0,706.0,1232.0,2240.0,11383.0,869.0,58996.0,55199.0,3797.0,43047.0,102912.0,59865.0,,,2179.0,2263.0,,,5215.0,5438.0,12264.0,15101.0,33182.0,12668.0,,,,,,14258.0,3648.0,2126.0,5095.0,2957.0,16017.0,1687.0,613.0,3526.0,3241.0,4521.0,5403.0,4941.0,3567.0,1505.0,0.0,2152.0,0.4997,6262.0,3798.0,32382.0,8120.0,6781.0,8274.0,8090.0,33845.0,5732.0,12314.0,393.0,2388.0,1204.0,421.0,1990.0,6476.0,3456.0,16328.0,11.0,17674.0,3028.0,4950.0,1915.0,17674.0,6251.0,6702.0,12236.0,12336.0,17664.0,17046.0,5933.0,67042.0,128616.0,130709.0,126987.0,25096.0,12236.0,24186.0,,,,4072.0,12264.0,25977.0,7064.0,4137.0,13050.0,87408.0,,,,,,,,,,2016,,,,,,
3,29097,15080.0,30650.0,1978.0,1582.0,3083.0,1391.0,1257.0,940.0,1061.0,1992.0,2459.0,1595.0,491.0,119111.0,57629.0,61482.0,36.3,,,,,,,,,,45730.0,45786.0,23255.0,52029.0,6299.0,,,547.0,27.8,29879.0,0.0,18102.0,9211.0,5549.0,2624.0,2734.0,101.0,90.0,3662.0,1098.0,1098.0,10722.0,14533.0,6918.0,1807.0,5051.0,933.0,906600.0,3644.0,2794.0,2304.0,2632.0,3126.0,2769.0,2958.0,2243.0,2268.0,4815.0,4385.0,6421.0,1868.0,1493.0,1103.0,907.0,737.0,71300.0,113500.0,166600.0,22677.0,45730.0,15851.0,40765.0,480.0,2533.0,2033.0,1160.0,684.0,273.0,1080.0,2861.0,2182.0,3645.0,2385.0,3798.0,4256.0,4577.0,2176.0,1992.0,824.0,980.0,2309.0,3759.0,3939.0,3692.0,3886.0,3491.0,3728.0,3974.0,1471.0,1268.0,1188.0,2307.0,1121.0,1606.0,660.0,627.0,4352.0,4274.0,3962.0,2600.0,1641.0,664.0,302.0,2811.0,4418.0,3713.0,3799.0,4183.0,4053.0,3656.0,4356.0,1117.0,1973.0,1822.0,1432.0,2034.0,1871.0,1126.0,1323.0,107566.0,2615.0,2263.0,1634.0,9957.0,509.0,192.0,1054.0,356.0,7202.0,0.0,59436.0,55577.0,3859.0,33036.0,92472.0,59436.0,,,,,395.0,163.0,6183.0,6286.0,11452.0,13363.0,29995.0,7761.0,,,,,,13243.0,3297.0,1025.0,6300.0,3716.0,12186.0,3070.0,666.0,9001.0,2249.0,2237.0,6860.0,4129.0,2968.0,1170.0,29.0,2736.0,0.4517,4897.0,2263.0,28050.0,7462.0,6539.0,7152.0,5977.0,30780.0,6340.0,10192.0,622.0,1564.0,882.0,359.0,1409.0,5917.0,3179.0,13932.0,253.0,16074.0,1131.0,2628.0,3754.0,16074.0,5754.0,9223.0,15348.0,9178.0,16096.0,19068.0,5202.0,60476.0,117086.0,118038.0,114429.0,21358.0,15348.0,23002.0,,,,5995.0,11452.0,22718.0,5562.0,3581.0,11445.0,77593.0,,,,,,,,,,2016,,,,,,
4,26087,10696.0,22482.0,1978.0,868.0,1628.0,607.0,975.0,1125.0,533.0,507.0,515.0,638.0,489.0,88340.0,45360.0,42980.0,44.6,,,,,,,,,,33178.0,54309.0,26459.0,36321.0,3143.0,,,639.0,33.7,25293.0,0.0,15785.0,5689.0,4149.0,2540.0,1531.0,78.0,0.0,1540.0,392.0,392.0,3579.0,5152.0,2971.0,2067.0,4165.0,4478.0,1296075.0,1662.0,1645.0,1824.0,2213.0,2015.0,1378.0,1216.0,1703.0,1078.0,3259.0,4613.0,3793.0,2828.0,1498.0,1458.0,995.0,820.0,106700.0,165100.0,244700.0,18003.0,33178.0,7885.0,29698.0,425.0,915.0,575.0,747.0,595.0,546.0,234.0,2570.0,86.0,90.0,1138.0,2307.0,3229.0,1905.0,1902.0,1290.0,255.0,502.0,1864.0,2791.0,2476.0,2000.0,2802.0,3313.0,4423.0,3947.0,1327.0,1840.0,757.0,2004.0,1888.0,1266.0,770.0,502.0,2246.0,1969.0,3137.0,1730.0,812.0,321.0,657.0,1246.0,2355.0,2121.0,2203.0,2390.0,3237.0,3685.0,3834.0,1551.0,1624.0,1257.0,1877.0,1483.0,1356.0,1073.0,816.0,84352.0,1009.0,203.0,509.0,3034.0,1344.0,1369.0,4786.0,2837.0,9566.0,0.0,42498.0,39137.0,3361.0,29750.0,72248.0,42498.0,,,,,,,6503.0,6809.0,7307.0,9107.0,18425.0,2383.0,,,,,,,,789.0,3328.0,2888.0,8037.0,1568.0,460.0,9754.0,2036.0,889.0,4135.0,3211.0,1640.0,402.0,39.0,3354.0,0.433,3788.0,1854.0,24180.0,5529.0,3552.0,4471.0,4856.0,18788.0,2756.0,6786.0,1021.0,1598.0,838.0,435.0,766.0,7365.0,2827.0,14850.0,122.0,11159.0,635.0,2132.0,524.0,11159.0,4454.0,8832.0,7955.0,6737.0,8672.0,13237.0,5783.0,47919.0,86772.0,,85269.0,10064.0,7955.0,20907.0,,,,6834.0,7307.0,21153.0,5316.0,3154.0,8757.0,62968.0,,,,,,,,,,2016,,,,,,
5,47147,6294.0,19008.0,1990.0,798.0,1241.0,852.0,117.0,232.0,1041.0,699.0,631.0,942.0,408.0,69165.0,33717.0,35448.0,37.9,,,,,,,,,,25302.0,60423.0,28094.0,26842.0,1540.0,,,689.0,26.9,18341.0,128.0,12297.0,4670.0,3291.0,2233.0,788.0,270.0,0.0,1379.0,291.0,291.0,3485.0,3460.0,3698.0,1064.0,4073.0,4823.0,931215.0,1416.0,749.0,712.0,1758.0,1440.0,1203.0,880.0,1179.0,1451.0,1732.0,3663.0,3548.0,1903.0,2068.0,802.0,798.0,869.0,127800.0,169500.0,262100.0,14133.0,25302.0,6961.0,20671.0,377.0,893.0,465.0,457.0,644.0,271.0,43.0,3021.0,64.0,784.0,732.0,2147.0,2834.0,2010.0,1422.0,707.0,511.0,728.0,360.0,2363.0,2477.0,2147.0,2203.0,2420.0,2471.0,2761.0,478.0,1180.0,987.0,967.0,950.0,809.0,442.0,343.0,2341.0,2220.0,2658.0,1340.0,487.0,259.0,211.0,1662.0,2345.0,2295.0,2353.0,2083.0,2157.0,2826.0,2387.0,782.0,1823.0,422.0,1288.0,1412.0,826.0,941.0,330.0,62171.0,4986.0,125.0,429.0,3608.0,1434.0,1334.0,3260.0,526.0,4604.0,0.0,35978.0,34396.0,1582.0,18209.0,54187.0,35978.0,,,282.0,200.0,,,4283.0,4123.0,6148.0,7972.0,16972.0,4189.0,,,,,,,,1147.0,3252.0,3801.0,5793.0,1648.0,252.0,3972.0,1554.0,1742.0,5338.0,3294.0,1629.0,974.0,0.0,2987.0,0.437,3163.0,923.0,17855.0,3499.0,4505.0,3419.0,4248.0,15320.0,1163.0,6760.0,480.0,1388.0,714.0,836.0,831.0,2991.0,2070.0,9310.0,24.0,10846.0,641.0,1192.0,1588.0,10846.0,4981.0,5431.0,8498.0,4640.0,6487.0,9491.0,5145.0,37551.0,68108.0,,66563.0,5705.0,8498.0,13342.0,,,,3688.0,6148.0,14695.0,3798.0,2825.0,5856.0,47268.0,,,,,,,,,,2016,,,,,,
6,13013,6921.0,17944.0,1997.0,799.0,1284.0,760.0,298.0,554.0,528.0,1190.0,1253.0,669.0,186.0,77126.0,37956.0,39170.0,35.5,,,,,,,,,,24865.0,54256.0,21581.0,27598.0,2733.0,,,726.0,25.6,17344.0,0.0,11917.0,5539.0,4265.0,2476.0,1433.0,207.0,149.0,1274.0,364.0,364.0,2433.0,3457.0,3762.0,2070.0,4751.0,4270.0,1157435.0,1526.0,1255.0,661.0,1620.0,1227.0,1621.0,779.0,1607.0,1119.0,2561.0,2600.0,3795.0,2626.0,668.0,677.0,523.0,947.0,106700.0,142300.0,181300.0,13258.0,24865.0,7521.0,22160.0,302.0,1086.0,275.0,422.0,194.0,0.0,124.0,3035.0,671.0,783.0,279.0,2327.0,2825.0,3822.0,1590.0,1101.0,227.0,556.0,1243.0,2987.0,2977.0,2591.0,2920.0,2265.0,2421.0,2387.0,721.0,915.0,630.0,902.0,1431.0,558.0,287.0,273.0,2537.0,3438.0,2333.0,1653.0,702.0,258.0,474.0,1441.0,2983.0,2474.0,3181.0,2647.0,2910.0,2731.0,2600.0,918.0,1072.0,888.0,860.0,1245.0,1061.0,354.0,410.0,60355.0,8123.0,337.0,2902.0,2347.0,906.0,1968.0,4032.0,1926.0,3966.0,0.0,36530.0,34622.0,1908.0,22395.0,58925.0,36530.0,,,376.0,308.0,,,3798.0,3345.0,5625.0,7945.0,20525.0,3671.0,,,,,,,,469.0,2007.0,2794.0,6862.0,2016.0,621.0,5114.0,2329.0,902.0,4892.0,3544.0,2069.0,1003.0,0.0,2340.0,0.388,3651.0,,17219.0,3876.0,5593.0,4566.0,4791.0,21526.0,3452.0,8358.0,546.0,1128.0,338.0,548.0,1616.0,2965.0,1568.0,8709.0,55.0,10811.0,650.0,726.0,3981.0,10811.0,4615.0,6087.0,9011.0,4098.0,7121.0,10262.0,4416.0,41700.0,76668.0,,74083.0,10941.0,9011.0,15746.0,,,,4129.0,5625.0,12373.0,4514.0,2847.0,7103.0,50599.0,,,,,,,,,,2016,,,,,,
7,05045,15107.0,28857.0,1994.0,1756.0,3732.0,990.0,1256.0,1666.0,779.0,2982.0,2058.0,1825.0,222.0,122227.0,59273.0,62954.0,33.1,,,,,,,,,,43964.0,48506.0,24526.0,49328.0,5364.0,,,651.0,29.3,26698.0,68.0,17458.0,8832.0,6205.0,4110.0,1786.0,134.0,175.0,2627.0,736.0,699.0,8578.0,8081.0,6134.0,1659.0,4216.0,6938.0,1194215.0,3927.0,2856.0,1988.0,1960.0,2870.0,2562.0,2717.0,1858.0,1581.0,4093.0,3971.0,6201.0,2841.0,1867.0,1548.0,1124.0,806.0,111500.0,159900.0,230800.0,22587.0,43964.0,17266.0,31339.0,853.0,3141.0,1240.0,3260.0,2976.0,375.0,348.0,5651.0,2272.0,4612.0,1069.0,3717.0,3520.0,4838.0,2372.0,2479.0,1770.0,843.0,3840.0,4307.0,4054.0,4295.0,3663.0,3747.0,3497.0,2975.0,1237.0,1691.0,1129.0,1514.0,1516.0,1126.0,733.0,410.0,3719.0,4270.0,3818.0,2116.0,3192.0,714.0,1833.0,4510.0,4366.0,4497.0,4655.0,2914.0,3691.0,3569.0,3854.0,1204.0,1795.0,1154.0,1834.0,1745.0,1229.0,921.0,1354.0,100295.0,12771.0,277.0,1404.0,7314.0,1522.0,3083.0,2190.0,172.0,7032.0,67.0,56882.0,54840.0,2042.0,39726.0,96675.0,56949.0,,,454.0,385.0,,,6156.0,5467.0,12759.0,17787.0,28370.0,5015.0,,,,,,9346.0,3636.0,445.0,4575.0,2884.0,13265.0,3255.0,1067.0,6026.0,3721.0,1695.0,7963.0,5785.0,2762.0,1397.0,159.0,3119.0,0.4724,8798.0,5236.0,23926.0,4673.0,6304.0,6360.0,6478.0,36968.0,12060.0,6390.0,756.0,2105.0,1524.0,634.0,1045.0,3417.0,3666.0,13147.0,19.0,18410.0,744.0,2206.0,2701.0,18410.0,4056.0,7582.0,14921.0,9871.0,12982.0,17252.0,8405.0,60011.0,116948.0,120979.0,118108.0,22285.0,14921.0,22803.0,,,,4832.0,12759.0,17878.0,3758.0,6525.0,14213.0,74676.0,,,,,,,,,,2016,,,,,,
8,19169,17639.0,19711.0,1980.0,567.0,6892.0,1683.0,728.0,954.0,1091.0,2117.0,1475.0,1574.0,942.0,97090.0,49721.0,47369.0,26.9,,,,,,,,,,37350.0,53371.0,27937.0,39130.0,1780.0,,,775.0,38.9,19327.0,6.0,12983.0,4513.0,3624.0,2422.0,1202.0,0.0,0.0,889.0,213.0,213.0,12370.0,9046.0,6284.0,2763.0,1887.0,2142.0,867915.0,3964.0,1597.0,2545.0,2479.0,1622.0,846.0,1651.0,1444.0,1340.0,2662.0,3248.0,4152.0,3561.0,2892.0,1584.0,1763.0,867.0,124800.0,173800.0,268500.0,16799.0,37350.0,18023.0,21053.0,1509.0,1556.0,1529.0,2890.0,5612.0,3253.0,628.0,1100.0,887.0,1497.0,776.0,2269.0,2404.0,1916.0,1564.0,5870.0,2768.0,2176.0,4360.0,5177.0,2801.0,2728.0,1866.0,2205.0,2292.0,2585.0,1019.0,732.0,834.0,1062.0,1070.0,775.0,458.0,790.0,2145.0,1515.0,2431.0,1304.0,4018.0,4969.0,1755.0,3978.0,3143.0,2226.0,1939.0,2286.0,2789.0,2109.0,2561.0,600.0,1464.0,754.0,803.0,1586.0,987.0,974.0,1033.0,84190.0,1423.0,178.0,8417.0,9042.0,710.0,1779.0,1063.0,185.0,4563.0,30.0,57551.0,54884.0,2667.0,25651.0,83232.0,57581.0,455.0,0.0,,,,,3703.0,4125.0,16276.0,23216.0,15548.0,2421.0,,,,,,16730.0,12461.0,1297.0,5047.0,1569.0,17970.0,4078.0,958.0,5898.0,2852.0,2623.0,5074.0,4912.0,1582.0,1024.0,25.0,2595.0,0.4647,12052.0,9525.0,9545.0,2856.0,3550.0,3719.0,3775.0,44208.0,26603.0,1284.0,973.0,1960.0,1527.0,0.0,181.0,2027.0,2165.0,8833.0,0.0,25732.0,1750.0,2819.0,7958.0,25732.0,2558.0,4882.0,12013.0,9699.0,12137.0,12915.0,6884.0,40522.0,87337.0,96323.0,94562.0,18802.0,12013.0,12491.0,,,,4353.0,16276.0,8312.0,2838.0,8015.0,5300.0,51648.0,,,,,,,,,,2016,,,,,,
9,72113,16736.0,35711.0,1976.0,10945.0,1749.0,985.0,903.0,809.0,855.0,1183.0,586.0,537.0,542.0,145278.0,69855.0,75423.0,40.7,,,,,,,,,,52447.0,17454.0,10166.0,66922.0,14475.0,1917.0,1358.0,290.0,32.3,33353.0,0.0,12956.0,9091.0,2561.0,1263.0,1074.0,0.0,224.0,6530.0,645.0,468.0,6465.0,10105.0,6336.0,3593.0,4929.0,1265.0,901985.0,18193.0,5739.0,4618.0,4211.0,2812.0,3340.0,2696.0,2103.0,1659.0,1952.0,2087.0,1482.0,695.0,125.0,378.0,357.0,383.0,74300.0,96100.0,129800.0,17871.0,52447.0,19094.0,46172.0,5979.0,1213.0,1956.0,2257.0,4971.0,2275.0,2015.0,84.0,0.0,374.0,2634.0,3957.0,4461.0,4179.0,3026.0,2205.0,1204.0,770.0,3676.0,5200.0,4216.0,4439.0,3789.0,3989.0,3998.0,4792.0,1862.0,1674.0,1785.0,2090.0,3405.0,2221.0,1957.0,960.0,3715.0,4350.0,3865.0,3010.0,2024.0,1323.0,1436.0,2313.0,4745.0,4168.0,3134.0,5295.0,4227.0,4825.0,5168.0,2170.0,3017.0,2291.0,2813.0,3923.0,3933.0,1809.0,1869.0,108935.0,6722.0,0.0,62.0,1218.0,873.0,618.0,2054.0,678.0,8652.0,137.0,45371.0,39864.0,5507.0,73578.0,119086.0,45508.0,,,462.0,680.0,7951.0,8260.0,,,,22772.0,30563.0,17893.0,,,,,,,,354.0,4156.0,2079.0,11027.0,1861.0,978.0,3120.0,1603.0,2654.0,6107.0,3488.0,1565.0,872.0,0.0,2141.0,0.5499,,4003.0,,25024.0,7602.0,6202.0,7230.0,35722.0,9699.0,,1470.0,2508.0,801.0,2189.0,1544.0,5193.0,2610.0,16315.0,53.0,13462.0,1771.0,10315.0,,13462.0,3631.0,4348.0,11383.0,7040.0,24000.0,12292.0,3699.0,70708.0,141420.0,,140844.0,69943.0,11383.0,,,,,9650.0,21301.0,26037.0,1686.0,4096.0,10195.0,99764.0,,,,,,,,,,2016,,,,,,
