RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
9,California,1,23638,28754,31745,33798,37414,36169,37336,39809,30202,37244,29737,29509,36701,38000,38336,42639,42895,37428,38334,39558,33729,38967,27331,28020,37516,37471,39758,41614,34494,33633,33480,31209,30259,35863,27546,27166,37229,35424,35575,39559,34850,38175,35010,32542,31996,36242,28255,30186,38624,37407,42049,41658,38987,42847,33570,38770,35815,38972,29835,30275,38327,40503,44091,40890,43764,43236,36021,38072,32535,34229,27234,27054,33389,39057,39799,39694,40851,38713,36082,38212,29887,34965,26350,26889,36920,41679,42115,46782,46249,41594,40216,38565,30727,38680,27845,28558,38348,40520,42381,46981,41474,44383,41058,39785,38457,38946,30399,29088,41555,39580,46217,50810,42945,47417,41371,40785,37436,36612,29380,29341,39662,40755,44993,45076,42485,43154,33297,37865,32542,30597,26200,28005,35191,39333,44388,40531,43264,42106,36504,40045,33683,34992,27467,26242,
54,Texas,2,25275,27476,28295,29464,29923,26738,22530,22967,16314,20038,15504,17302,22291,21884,22818,27234,28073,24779,23501,23406,22628,22568,14940,17233,25063,26564,27379,29073,22107,22229,20060,18674,18344,20135,16327,15800,23043,22158,24621,26183,23616,26689,21861,20064,18983,20971,17343,19041,24198,23805,28926,29012,29091,29359,23523,26081,22497,23822,20719,21549,27302,32764,33838,33009,36065,35329,29488,28623,23747,26383,21064,21611,28362,31001,33955,35451,36837,31347,32778,31541,24212,29892,21679,22213,32375,31418,34175,39279,38940,35358,33739,31374,24191,31411,22913,25935,33937,33173,36015,40197,36574,39428,34075,30979,28877,31362,24759,25892,35880,32755,39946,41282,37388,37436,32740,33360,30257,31730,26767,27382,34552,37432,42442,41758,41282,41515,32482,34299,29081,29340,23714,25409,32745,35532,39510,35905,39237,37188,30704,31800,26566,30097,23139,25309,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9055,8315,7849,9394,9295,9648,11351,11600,12329,11080,10521,9540,10070,9579,7978,9575,9637,11071,12435,12497,13396,11670,11748,10568,10987,11081,9144,9921,10208,12824,12749,15191,16601,15469,15105,12409,13742,11612,9224,10670,11030,12747,13714,15328,15649,14657,15744,12029,14562,11314,10593,12049,11888,12487,15929,18029,17471,17577,16439,14177,15859,12703,12144,15240,13634,14484,17717,17697,20015,18598,16826,15800,16578,15033,13163,15020,14295,16869,19161,17570,21899,17939,18223,16435,16502,15239,13030,13534,13865,15965,17544,18716,20467,16558,19436,15668,14782,13576,10891,12434,13720,14969,15636,18838,19104,17186,17847,15533,16179,15312,13863,6847
14,Florida,4,18061,19997,20536,21190,21182,18239,18538,19105,14486,19249,16481,17096,22494,22848,23655,27278,27013,24745,25120,26461,23759,28300,21835,21392,30792,30333,29155,32294,27325,25540,24869,23964,22191,28260,25096,24876,33604,32249,31299,32043,28001,29846,26269,24643,24380,27757,23424,25189,31587,32589,34115,32430,31310,31808,27247,32267,29520,32976,29256,29106,35851,40049,41015,38822,40082,38251,33492,35458,30302,35389,29560,29972,36951,40856,41902,41232,41067,38573,36842,39245,32650,41078,30464,33819,43762,45645,43926,48873,46048,40887,40504,38579,32924,40010,30254,33266,41899,42389,43798,46582,40824,42148,37333,35389,34790,38608,31237,32591,45069,41726,48443,48654,42707,44808,30648,37938,34506,38858,33263,33898,44344,47189,49831,48620,46228,46929,38065,41054,36950,37264,31889,31484,41688,46167,47458,41024,45831,42705,38150,39797,35369,42869,33662,32688,
21,Illinois,5,12141,13463,14196,15432,16584,15315,14475,13958,9565,10339,8466,7697,10473,11359,11650,14282,15608,14059,14098,15193,13885,13921,9884,9005,12716,14228,15073,17286,13807,12797,11505,10668,10140,10862,9525,7845,11210,10645,12503,14860,12677,14949,12599,11777,11282,11997,10773,9858,12419,12676,15436,17070,15263,17557,12979,14179,12060,12003,12567,9819,12202,14736,15852,16456,19873,19106,16198,18069,14742,14709,13333,10782,13090,16043,17372,19638,19763,17701,18849,19349,13399,16141,11924,10910,15273,16771,17817,22429,23243,23467,21417,20563,15127,17211,13780,14017,17657,19250,21957,25585,23352,24900,20535,18800,16646,17442,15145,13144,19341,18537,23250,25913,22798,25409,19964,19637,18083,16801,14414,12209,17168,19640,22839,25204,22116,21799,17451,18757,15955,15061,10778,11124,14494,17217,20279,20499,21419,20683,17729,18095,14292,16153,12708,11533,10367
47,Pennsylvania,6,10520,11443,12366,13771,14102,12901,11844,11739,8956,9641,6780,6299,8451,9251,9859,12531,13554,12571,11995,12492,12383,11799,6735,6221,10133,11106,12170,15574,12001,10137,9859,9389,8780,9900,7438,6895,9329,8931,10326,12526,11191,12480,10331,9907,9247,10022,8057,7448,9245,9849,11914,12499,13074,13347,9672,11746,10974,11185,9338,8059,9788,11815,13417,13939,15709,15045,12972,13307,11063,11861,9207,7727,10078,11339,12854,15388,15229,14745,13540,14280,11397,13623,9609,8835,12145,12588,13763,17135,18851,16197,15702,15888,12407,14717,11018,10498,13302,13904,16153,19232,17520,18490,15970,15124,14518,15514,12424,10669,14931,13989,17959,19720,17859,19400,16133,17242,15980,15377,13388,10803,13697,16021,18103,19919,19849,20261,16051,17734,15710,15190,12040,10596,13965,16104,18701,18474,20254,19325,16531,17644,15327,16416,13304,11625,
44,Ohio,7,11096,12302,13153,14363,14194,13082,12569,12541,9157,9904,7360,7575,9633,10221,10366,12785,13070,12376,12098,12805,11368,10781,7511,7274,10812,12037,13381,14795,10427,10320,10458,9443,8846,9531,7813,7308,10512,10252,11291,12461,11544,12704,11318,10325,9537,9970,8556,8581,10904,10970,12687,13331,12503,13574,11100,12430,10806,10731,9897,9255,11505,12930,14956,15858,16409,16282,13642,14221,12161,11482,9288,8714,10832,12091,14277,15802,16470,14444,14545,14943,11440,13191,10109,9957,13411,14367,15812,18734,18679,17144,16319,15718,12029,13308,11028,11166,14072,15373,17420,19716,17716,18949,17503,15937,14616,14931,11858,11241,15939,15440,19164,20804,18387,20665,17770,17987,16162,15083,12426,11162,15699,16984,19095,20601,20218,20946,16931,18724,16225,15119,12599,12479,15639,18218,20967,20098,21755,21459,19475,20636,17223,17569,15004,14350,
30,Michigan,8,10566,11864,12796,13178,13423,13113,13270,14050,11035,10502,10153,9186,11606,12610,12919,13654,14876,14057,14170,14091,14006,12755,10747,9936,12739,13672,13513,15348,11973,12124,12573,12355,12918,11046,10707,9408,12127,11693,12142,13581,12727,15302,13613,12668,16468,11213,11071,11108,12927,12733,14799,15317,14755,16696,14572,17453,22100,12928,13679,11788,13169,14244,15912,16253,17076,17827,17107,17924,20608,13030,12031,10119,11211,12496,13956,15355,16563,16051,16297,18002,18822,14349,11557,9940,12542,13831,14204,18764,17597,18139,17667,18430,17772,13633,12659,11566,14004,14252,16628,18804,17663,19754,19805,15966,14731,14179,13835,11342,15094,13045,17857,20369,18017,21000,18366,18857,16398,13814,13616,10514,13488,14818,17928,18839,19372,20782,17751,19132,15804,12833,12089,11342,13002,14315,17108,17303,19135,19367,18177,19160,15518,13619,14212,10346,
16,Georgia,9,11898,12829,12912,12875,13563,12594,11813,12244,8565,9956,7919,7765,9982,9655,9668,11525,12044,11057,10220,10535,9958,10691,7114,7744,10594,11245,11223,12444,10121,9726,11862,12970,11666,10201,7905,8139,11112,10055,11297,12770,12971,14443,12884,11804,11058,11318,12749,12289,14188,13963,15324,16478,14840,16028,13003,14717,13566,12558,13149,12834,14951,15565,16734,16265,16207,16299,13523,14228,12891,12406,12795,11914,14492,14691,17009,16906,16082,16812,14683,14839,12446,13895,12774,12606,15741,17789,16647,18915,17777,16726,15607,14379,11463,14855,12167,13912,17721,17637,19141,22052,20642,22897,20613,18746,17660,18934,12842,13407,19460,17489,21705,22063,18924,20528,17385,17387,16433,17550,13311,14924,19248,19829,21830,22688,20759,22829,17522,18307,17077,15689,13712,15113,19196,20112,22094,20816,22105,21179,18695,19534,16825,18034,14813,15995,
36,North Carolina,10,9726,10492,11436,11419,11133,10198,8792,8366,5982,6973,5387,6141,7510,7647,8360,9786,10133,8818,8826,9091,8260,8154,5590,6126,8722,9852,10048,10958,8107,7858,7583,6955,6474,7963,5787,5853,8324,8089,8532,9470,8141,8960,7837,6874,6576,7428,5987,6844,8407,8374,9822,10451,9229,9996,8235,8956,8399,9110,7628,7769,9996,11379,12871,12339,12605,12534,10343,10587,9322,10035,8186,7975,10066,11089,12605,13045,13282,12710,11252,11879,9383,11402,8480,8621,12141,11422,12274,15413,15515,13665,13057,12454,9421,11678,9083,10238,13254,14164,16043,17958,15747,16791,14892,13683,14200,14137,11460,11401,16376,15255,17688,19568,16652,18410,16272,15998,14325,14326,11497,11808,15518,16602,18733,19527,17903,19007,13313,15623,13953,13034,11298,12216,15481,16322,19263,18448,18981,19307,16129,17571,14801,15618,12902,13246,
