,county,state,county_fips_code,neighbors,neighbors_state,neighbors_fips_code
0,Addison County,Vermont,50001,"['Rutland', 'Orange', 'Essex', 'Chittenden', 'Windsor', 'Washington', 'Washington']","['Vermont', 'Vermont', 'New York', 'Vermont', 'Vermont', 'New York', 'Vermont']","['50021', '50017', '36031', '50007', '50027', '36115', '50023']"
1,Apache County,Arizona,04001,"['San Juan', 'Graham', 'Cibola', 'Montezuma', 'Navajo', 'Greenlee', 'McKinley', 'San Juan', 'Catron']","['Utah', 'Arizona', 'New Mexico', 'Colorado', 'Arizona', 'Arizona', 'New Mexico', 'New Mexico', 'New Mexico']","['49037', '04009', '35006', '08083', '04017', '04011', '35031', '35045', '35003']"
2,Barnstable County,Massachusetts,25001,"['Plymouth', 'Bristol', 'Dukes']","['Massachusetts', 'Massachusetts', 'Massachusetts']","['25023', '25005', '25007']"
3,Belknap County,New Hampshire,33001,"['Strafford', 'Merrimack', 'Carroll', 'Grafton']","['New Hampshire', 'New Hampshire', 'New Hampshire', 'New Hampshire']","['33017', '33013', '33003', '33009']"
4,Bennington County,Vermont,50003,"['Rensselaer', 'Franklin', 'Windham', 'Berkshire', 'Washington', 'Rutland', 'Windsor']","['New York', 'Massachusetts', 'Vermont', 'Massachusetts', 'New York', 'Vermont', 'Vermont']","['36083', '25011', '50025', '25003', '36115', '50021', '50027']"
5,Berkshire County,Massachusetts,25003,"['Bennington', 'Franklin', 'Hampshire', 'Rensselaer', 'Columbia', 'Litchfield', 'Hampden', 'Dutchess']","['Vermont', 'Massachusetts', 'Massachusetts', 'New York', 'New York', 'Connecticut', 'Massachusetts', 'New York']","['50003', '25011', '25015', '36083', '36021', '09005', '25013', '36027']"
6,Bristol County,Massachusetts,25005,"['Barnstable', 'Norfolk', 'Providence', 'Bristol', 'Plymouth', 'Dukes', 'Newport']","['Massachusetts', 'Massachusetts', 'Rhode Island', 'Rhode Island', 'Massachusetts', 'Massachusetts', 'Rhode Island']","['25001', '25021', '44007', '44001', '25023', '25007', '44005']"
7,Bristol County,Rhode Island,44001,"['Providence', 'Newport', 'Bristol', 'Kent']","['Rhode Island', 'Rhode Island', 'Massachusetts', 'Rhode Island']","['44007', '44005', '25005', '44003']"
8,Caledonia County,Vermont,50005,"['Washington', 'Lamoille', 'Orleans', 'Grafton', 'Orange', 'Essex']","['Vermont', 'Vermont', 'Vermont', 'New Hampshire', 'Vermont', 'Vermont']","['50023', '50015', '50019', '33009', '50017', '50009']"
9,Carroll County,New Hampshire,33003,"['Grafton', 'York', 'Coos', 'Strafford', 'Oxford', 'Belknap']","['New Hampshire', 'Maine', 'New Hampshire', 'New Hampshire', 'Maine', 'New Hampshire']","['33009', '23031', '33007', '33017', '23017', '33001']"
10,Cheshire County,New Hampshire,33005,"['Worcester', 'Windham', 'Franklin', 'Hillsborough', 'Sullivan']","['Massachusetts', 'Vermont', 'Massachusetts', 'New Hampshire', 'New Hampshire']","['25027', '50025', '25011', '33011', '33019']"
11,Chittenden County,Vermont,50007,"['Essex', 'Grand Isle', 'Clinton', 'Lamoille', 'Addison', 'Franklin', 'Washington']","['New York', 'Vermont', 'New York', 'Vermont', 'Vermont', 'Vermont', 'Vermont']","['36031', '50013', '36019', '50015', '50001', '50011', '50023']"
12,Cochise County,Arizona,04003,"['Graham', 'Santa Cruz', 'Pima', 'Greenlee', 'Hidalgo']","['Arizona', 'Arizona', 'Arizona', 'Arizona', 'New Mexico']","['04009', '04023', '04019', '04011', '35023']"
13,Coconino County,Arizona,04005,"['Yavapai', 'San Juan', 'Navajo', 'Mohave', 'Gila', 'Kane']","['Arizona', 'Utah', 'Arizona', 'Arizona', 'Arizona', 'Utah']","['04025', '49037', '04017', '04015', '04007', '49025']"
14,Coos County,New Hampshire,33007,"['Oxford', 'Carroll', 'Essex', 'Grafton']","['Maine', 'New Hampshire', 'Vermont', 'New Hampshire']","['23017', '33003', '50009', '33009']"
15,District of Columbia,District of Columbia,11001,"['Montgomery', 'Arlington', 'Alexandria', ""Prince George's""]","['Maryland', 'Virginia', 'Virginia', 'Maryland']","['24031', '51013', '51510', '24033']"
16,Dukes County,Massachusetts,25007,"['Barnstable', 'Bristol', 'Nantucket']","['Massachusetts', 'Massachusetts', 'Massachusetts']","['25001', '25005', '25019']"
17,Essex County,Massachusetts,25009,"['Rockingham', 'Hillsborough', 'Middlesex', 'Suffolk']","['New Hampshire', 'New Hampshire', 'Massachusetts', 'Massachusetts']","['33015', '33011', '25017', '25025']"
18,Essex County,Vermont,50009,"['Caledonia', 'Grafton', 'Orleans', 'Coos']","['Vermont', 'New Hampshire', 'Vermont', 'New Hampshire']","['50005', '33009', '50019', '33007']"
19,Fairfield County,Connecticut,09001,"['New Haven', 'Litchfield', 'Dutchess', 'Westchester', 'Nassau', 'Putnam', 'Suffolk']","['Connecticut', 'Connecticut', 'New York', 'New York', 'New York', 'New York', 'New York']","['09009', '09005', '36027', '36119', '36059', '36079', '36103']"
20,Franklin County,Massachusetts,25011,"['Worcester', 'Hampshire', 'Berkshire', 'Bennington', 'Windham', 'Cheshire']","['Massachusetts', 'Massachusetts', 'Massachusetts', 'Vermont', 'Vermont', 'New Hampshire']","['25027', '25015', '25003', '50003', '50025', '33005']"
21,Franklin County,Vermont,50011,"['Lamoille', 'Chittenden', 'Grand Isle', 'Orleans']","['Vermont', 'Vermont', 'Vermont', 'Vermont']","['50015', '50007', '50013', '50019']"
22,Gila County,Arizona,04007,"['Yavapai', 'Pinal', 'Graham', 'Navajo', 'Maricopa', 'Coconino']","['Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona']","['04025', '04021', '04009', '04017', '04013', '04005']"
23,Grafton County,New Hampshire,33009,"['Essex', 'Sullivan', 'Coos', 'Carroll', 'Orange', 'Merrimack', 'Windsor', 'Caledonia', 'Belknap']","['Vermont', 'New Hampshire', 'New Hampshire', 'New Hampshire', 'Vermont', 'New Hampshire', 'Vermont', 'Vermont', 'New Hampshire']","['50009', '33019', '33007', '33003', '50017', '33013', '50027', '50005', '33001']"
24,Graham County,Arizona,04009,"['Greenlee', 'Pinal', 'Navajo', 'Cochise', 'Gila', 'Apache', 'Pima']","['Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona']","['04011', '04021', '04017', '04003', '04007', '04001', '04019']"
25,Grand Isle County,Vermont,50013,"['Franklin', 'Clinton', 'Chittenden']","['Vermont', 'New York', 'Vermont']","['50011', '36019', '50007']"
26,Greenlee County,Arizona,04011,"['Catron', 'Cochise', 'Apache', 'Hidalgo', 'Grant', 'Graham']","['New Mexico', 'Arizona', 'Arizona', 'New Mexico', 'New Mexico', 'Arizona']","['35003', '04003', '04001', '35023', '35017', '04009']"
27,Hampden County,Massachusetts,25013,"['Hartford', 'Worcester', 'Litchfield', 'Tolland', 'Hampshire', 'Berkshire']","['Connecticut', 'Massachusetts', 'Connecticut', 'Connecticut', 'Massachusetts', 'Massachusetts']","['09003', '25027', '09005', '09013', '25015', '25003']"
28,Hampshire County,Massachusetts,25015,"['Franklin', 'Berkshire', 'Worcester', 'Hampden']","['Massachusetts', 'Massachusetts', 'Massachusetts', 'Massachusetts']","['25011', '25003', '25027', '25013']"
29,Hartford County,Connecticut,09003,"['Tolland', 'New Haven', 'Middlesex', 'New London', 'Litchfield', 'Hampden']","['Connecticut', 'Connecticut', 'Connecticut', 'Connecticut', 'Connecticut', 'Massachusetts']","['09013', '09009', '09007', '09011', '09005', '25013']"
30,Hillsborough County,New Hampshire,33011,"['Worcester', 'Merrimack', 'Sullivan', 'Rockingham', 'Middlesex', 'Cheshire', 'Essex']","['Massachusetts', 'New Hampshire', 'New Hampshire', 'New Hampshire', 'Massachusetts', 'New Hampshire', 'Massachusetts']","['25027', '33013', '33019', '33015', '25017', '33005', '25009']"
31,Kalawao County,Hawaii,15005,['Maui'],['Hawaii'],['15009']
32,Kent County,Delaware,10001,"['Cape May', ""Queen Anne's"", 'New Castle', 'Salem', 'Cumberland', 'Kent', 'Sussex', 'Caroline']","['New Jersey', 'Maryland', 'Delaware', 'New Jersey', 'New Jersey', 'Maryland', 'Delaware', 'Maryland']","['34009', '24035', '10003', '34033', '34011', '24029', '10005', '24011']"
33,Kent County,Rhode Island,44003,"['Bristol', 'Washington', 'New London', 'Providence', 'Newport', 'Windham']","['Rhode Island', 'Rhode Island', 'Connecticut', 'Rhode Island', 'Rhode Island', 'Connecticut']","['44001', '44009', '09011', '44007', '44005', '09015']"
34,La Paz County,Arizona,04012,"['Riverside', 'Yavapai', 'Maricopa', 'Yuma', 'Imperial', 'Mohave', 'San Bernardino']","['California', 'Arizona', 'Arizona', 'Arizona', 'California', 'Arizona', 'California']","['06065', '04025', '04013', '04027', '06025', '04015', '06071']"
35,Lamoille County,Vermont,50015,"['Caledonia', 'Washington', 'Orleans', 'Franklin', 'Chittenden']","['Vermont', 'Vermont', 'Vermont', 'Vermont', 'Vermont']","['50005', '50023', '50019', '50011', '50007']"
36,Litchfield County,Connecticut,09005,"['New Haven', 'Hartford', 'Hampden', 'Berkshire', 'Dutchess', 'Fairfield']","['Connecticut', 'Connecticut', 'Massachusetts', 'Massachusetts', 'New York', 'Connecticut']","['09009', '09003', '25013', '25003', '36027', '09001']"
37,Maricopa County,Arizona,04013,"['Pima', 'Yuma', 'Pinal', 'La Paz', 'Yavapai', 'Gila']","['Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona']","['04019', '04027', '04021', '04012', '04025', '04007']"
38,Maui County,Hawaii,15009,['Kalawao'],['Hawaii'],['15005']
39,Merrimack County,New Hampshire,33013,"['Belknap', 'Hillsborough', 'Strafford', 'Rockingham', 'Grafton', 'Sullivan']","['New Hampshire', 'New Hampshire', 'New Hampshire', 'New Hampshire', 'New Hampshire', 'New Hampshire']","['33001', '33011', '33017', '33015', '33009', '33019']"
40,Middlesex County,Connecticut,09007,"['New Haven', 'Suffolk', 'Hartford', 'New London']","['Connecticut', 'New York', 'Connecticut', 'Connecticut']","['09009', '36103', '09003', '09011']"
41,Middlesex County,Massachusetts,25017,"['Essex', 'Worcester', 'Norfolk', 'Suffolk', 'Hillsborough']","['Massachusetts', 'Massachusetts', 'Massachusetts', 'Massachusetts', 'New Hampshire']","['25009', '25027', '25021', '25025', '33011']"
42,Mohave County,Arizona,04015,"['La Paz', 'San Bernardino', 'Kane', 'Coconino', 'Clark', 'Lincoln', 'Washington', 'Yavapai']","['Arizona', 'California', 'Utah', 'Arizona', 'Nevada', 'Nevada', 'Utah', 'Arizona']","['04012', '06071', '49025', '04005', '32003', '32017', '49053', '04025']"
43,Nantucket County,Massachusetts,25019,['Dukes'],['Massachusetts'],['25007']
44,Navajo County,Arizona,04017,"['San Juan', 'Graham', 'Coconino', 'Apache', 'Gila']","['Utah', 'Arizona', 'Arizona', 'Arizona', 'Arizona']","['49037', '04009', '04005', '04001', '04007']"
45,New Castle County,Delaware,10003,"['Delaware', 'Kent', 'Chester', 'Cecil', 'Kent', 'Gloucester', 'Salem']","['Pennsylvania', 'Delaware', 'Pennsylvania', 'Maryland', 'Maryland', 'New Jersey', 'New Jersey']","['42045', '10001', '42029', '24015', '24029', '34015', '34033']"
46,New Haven County,Connecticut,09009,"['Middlesex', 'Litchfield', 'Fairfield', 'Suffolk', 'Hartford']","['Connecticut', 'Connecticut', 'Connecticut', 'New York', 'Connecticut']","['09007', '09005', '09001', '36103', '09003']"
47,New London County,Connecticut,09011,"['Tolland', 'Hartford', 'Kent', 'Windham', 'Washington', 'Middlesex', 'Suffolk']","['Connecticut', 'Connecticut', 'Rhode Island', 'Connecticut', 'Rhode Island', 'Connecticut', 'New York']","['09013', '09003', '44003', '09015', '44009', '09007', '36103']"
48,Newport County,Rhode Island,44005,"['Bristol', 'Washington', 'Bristol', 'Kent']","['Rhode Island', 'Rhode Island', 'Massachusetts', 'Rhode Island']","['44001', '44009', '25005', '44003']"
49,Norfolk County,Massachusetts,25021,"['Worcester', 'Suffolk', 'Bristol', 'Plymouth', 'Middlesex', 'Providence']","['Massachusetts', 'Massachusetts', 'Massachusetts', 'Massachusetts', 'Massachusetts', 'Rhode Island']","['25027', '25025', '25005', '25023', '25017', '44007']"
50,Orange County,Vermont,50017,"['Windsor', 'Caledonia', 'Addison', 'Grafton', 'Washington']","['Vermont', 'Vermont', 'Vermont', 'New Hampshire', 'Vermont']","['50027', '50005', '50001', '33009', '50023']"
51,Orleans County,Vermont,50019,"['Lamoille', 'Franklin', 'Caledonia', 'Essex']","['Vermont', 'Vermont', 'Vermont', 'Vermont']","['50015', '50011', '50005', '50009']"
52,Pima County,Arizona,04019,"['Cochise', 'Graham', 'Maricopa', 'Pinal', 'Santa Cruz', 'Yuma']","['Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona', 'Arizona']","['04003', '04009', '04013', '04021', '04023', '04027']"
53,Pinal County,Arizona,04021,"['Maricopa', 'Pima', 'Graham', 'Gila']","['Arizona', 'Arizona', 'Arizona', 'Arizona']","['04013', '04019', '04009', '04007']"
54,Plymouth County,Massachusetts,25023,"['Norfolk', 'Barnstable', 'Suffolk', 'Bristol']","['Massachusetts', 'Massachusetts', 'Massachusetts', 'Massachusetts']","['25021', '25001', '25025', '25005']"
55,Providence County,Rhode Island,44007,"['Bristol', 'Windham', 'Kent', 'Worcester', 'Bristol', 'Norfolk']","['Rhode Island', 'Connecticut', 'Rhode Island', 'Massachusetts', 'Massachusetts', 'Massachusetts']","['44001', '09015', '44003', '25027', '25005', '25021']"
56,Rockingham County,New Hampshire,33015,"['Essex', 'York', 'Hillsborough', 'Strafford', 'Merrimack']","['Massachusetts', 'Maine', 'New Hampshire', 'New Hampshire', 'New Hampshire']","['25009', '23031', '33011', '33017', '33013']"
